iso3_a,iso3_b,psw_tree,psw_cognet
ARG,ARG,1.0,1.0
ARG,AUS,0.23379433000000005,0.38462105
ARG,AUT,0.23874306999999995,0.23524031
ARG,BEL,0.31638241,0.37722009
ARG,BIH,0.54640347,0.029634008
ARG,BLR,0.15361391999999996,0.17365617
ARG,BOL,0.68732724,0.70569986
ARG,BRA,0.66296932,0.68623358
ARG,CAN,0.29133772999999996,0.408512
ARG,CHE,0.32264649999999995,0.34268156
ARG,CHL,0.78069082,0.81991625
ARG,CHN,0.003707589999999983,0.012933656
ARG,COL,0.82229127,0.85233134
ARG,CYP,0.18194812999999999,0.23631115
ARG,CZE,0.15936165999999996,0.19101538
ARG,DEU,0.21871870999999998,0.3079356
ARG,DNK,0.19755632,0.30709198
ARG,DOM,0.79744627,0.82577777
ARG,ECU,0.78029731,0.80296499
ARG,ESP,0.68292937,0.71418059
ARG,FIN,0.13293171000000004,0.245046
ARG,FRA,0.41720712000000004,0.50120014
ARG,GBR,0.30093843,0.44395214
ARG,GEO,0.057968200000000025,0.084235251
ARG,GRC,0.19517326000000002,0.22687271
ARG,HRV,0.39544760999999995,0.27399057
ARG,HUN,0.08057128999999996,0.15942727
ARG,IDN,9.453000000003708e-05,0.045903042
ARG,IND,0.15787309000000005,0.11175504
ARG,ISR,0.10507858000000003,0.17194238
ARG,ITA,0.42751545,0.38409811
ARG,JAM,0.014874759999999987,0.026608467
ARG,JPN,0.022955949999999947,0.1516853
ARG,KAZ,0.08751476000000002,0.12031896
ARG,KOR,0.04574906999999995,0.10387824
ARG,LBN,0.12138230000000005,0.16686158
ARG,LTU,0.15996765999999996,0.162444
ARG,MAR,0.10246825000000004,0.13291845
ARG,MCO,0.49482172999999996,0.45697123
ARG,MDA,0.27341908000000004,0.30367643
ARG,MEX,0.7828256,0.81417686
ARG,NLD,0.21527386000000004,0.31008247
ARG,NOR,0.19272721000000004,0.20607014
ARG,NZL,0.22096264,0.37660351
ARG,PAK,0.24385440000000003,0.130528
ARG,PER,0.7410985800000001,0.76166373
ARG,PHL,0.07387173000000002,0.17525032
ARG,POL,0.16853648,0.22753999
ARG,PRT,0.57849321,0.63389355
ARG,ROU,0.34577625999999995,0.41443047
ARG,RUS,0.13611192000000005,0.15892108
ARG,SLV,0.85104313,0.87508273
ARG,SRB,0.41660792,0.037040871
ARG,SVK,0.15173322,0.16832283
ARG,SVN,0.41763973,0.2304011
ARG,SWE,0.21063279999999995,0.31525436
ARG,THA,0.04370200999999996,0.099470258
ARG,TUN,0.11904961000000003,0.15239923
ARG,TWN,0.001212300000000055,0.0090105878
ARG,UKR,0.14881063000000005,0.15588748
ARG,URY,0.7180881800000001,0.76837629
ARG,USA,0.32356726999999996,0.47930565
ARG,UZB,0.04559928000000002,0.04914099
ARG,VEN,0.83593625,0.85935241
ARG,ZAF,0.06054682,0.10524605
AUS,AUS,1.0,1.0
AUS,AUT,0.49140024000000004,0.34431696
AUS,BEL,0.36270844999999996,0.4222593
AUS,BIH,0.19329023,0.031754874
AUS,BLR,0.24598145000000005,0.21747799
AUS,BOL,0.12167119999999998,0.26485229
AUS,BRA,0.17970717000000003,0.37751663
AUS,CAN,0.51834604,0.57831305
AUS,CHE,0.39337194,0.37727246
AUS,CHL,0.20610887,0.36704877
AUS,CHN,0.035205249999999966,0.032839384
AUS,COL,0.17305619000000005,0.34466195
AUS,CYP,0.38227749,0.35546505
AUS,CZE,0.28687668,0.26528373
AUS,DEU,0.46082597999999997,0.47357476
AUS,DNK,0.45763606,0.51900548
AUS,DOM,0.14316821000000002,0.31685343
AUS,ECU,0.14084750000000001,0.30496073
AUS,ESP,0.24160528000000003,0.38457265
AUS,FIN,0.32045548999999995,0.40157098
AUS,FRA,0.29715174,0.45988548
AUS,GBR,0.62578252,0.66404462
AUS,GEO,0.07233524000000002,0.082692459
AUS,GRC,0.38495760999999995,0.33633116
AUS,HRV,0.37693453,0.38756266
AUS,HUN,0.18601917999999995,0.23303416
AUS,IDN,0.005793750000000042,0.053673994
AUS,IND,0.23631208999999997,0.18120201
AUS,ISR,0.27345812,0.27810222
AUS,ITA,0.28342152,0.3392812
AUS,JAM,0.03360956999999998,0.050363146
AUS,JPN,0.06831675999999998,0.29001647
AUS,KAZ,0.13827162999999998,0.14316258
AUS,KOR,0.15577072000000003,0.19102988
AUS,LBN,0.15119671999999995,0.1908828
AUS,LTU,0.27416456,0.21990898
AUS,MAR,0.07879334999999998,0.11696205
AUS,MCO,0.18501055,0.34642658
AUS,MDA,0.17890859000000003,0.22848386
AUS,MEX,0.17599761000000003,0.33871436
AUS,NLD,0.49979233999999995,0.49158752
AUS,NOR,0.49310898999999997,0.36446434
AUS,NZL,0.6778180300000001,0.68427199
AUS,PAK,0.31594342,0.22922964
AUS,PER,0.12972105,0.28587988
AUS,PHL,0.24712217000000003,0.27146527
AUS,POL,0.31576817999999995,0.31574935
AUS,PRT,0.26033449,0.44240552
AUS,ROU,0.30029797999999996,0.38704723
AUS,RUS,0.18715464999999998,0.17460041
AUS,SLV,0.14993208999999996,0.32934284
AUS,SRB,0.18534028999999996,0.034373086
AUS,SVK,0.25488323,0.23032315
AUS,SVN,0.35882026,0.3493273
AUS,SWE,0.48051214,0.52888298
AUS,THA,0.14016032,0.17058061
AUS,TUN,0.07464837999999996,0.12835985
AUS,TWN,0.02640748000000004,0.021455854
AUS,UKR,0.20703632000000005,0.17417969
AUS,URY,0.27270883,0.41422656
AUS,USA,0.6669113,0.6979596
AUS,UZB,0.05823999999999996,0.050584845
AUS,VEN,0.14697492,0.32354712
AUS,ZAF,0.17875867999999995,0.17926528
AUT,AUT,1.0,1.0
AUT,BEL,0.34855837,0.24379261
AUT,BIH,0.21351801999999998,0.024175236
